Filename;q_flag;Avg Time;Avg Energy;File Size;Resolution;bpp;q_flag;ssim;psnr;mse;;min fs;max fs ;avg fs;median fs
caps;9;0,085501477;4,02;60631;768x512;1,2335;9;0,981117162;43,04578132;3,224795871;;;;;
caps;10;0,082008589;3,9;56101;768x512;1,1413;10;0,979764398;42,68645998;3,502953423;;;;;
caps;11;0,079652534;3,82;52673;768x512;1,0716;11;0,978510213;42,33583187;3,797494676;;;;;
caps;12;0,07775389;3,66;48913;768x512;0,9951;12;0,977037826;41,96416979;4,13678911;;;;;
caps;13;0,076524967;3,67;46371;768x512;0,9434;13;0,975729959;41,66521226;4,431585524;;;;;
caps;14;0,075294444;3,6;43653;768x512;0,8881;14;0,974245731;41,35702598;4,757488675;;;;;
caps;15;0,074791534;3,29;41539;768x512;0,8451;15;0,97292492;41,07040422;5,082061768;;;;;
caps;16;0,073553541;3,67;39235;768x512;0,7982;16;0,971161171;40,68182325;5,557737562;;;;;
caps;17;0,072061617;3,44;37380;768x512;0,7604;17;0,96977158;40,42126725;5,901380751;;;;;
caps;18;0,071346846;3,39;35990;768x512;0,7322;18;0,968572293;40,20478553;6,203000387;;;;;
caps;19;0,070755444;3,39;34326;768x512;0,6983;19;0,967068807;39,95416512;6,57148997;;;;;
caps;20;0,069824093;3,34;32646;768x512;0,6641;20;0,965376359;39,68366846;6,993804932;;;;;
caps;21;0,069414752;3,3;31363;768x512;0,638;21;0,963790464;39,43315252;7,409094069;;;;;
caps;22;0,068108579;3,26;30218;768x512;0,6147;22;0,962496672;39,24247015;7,741646661;;;;;
caps;23;0,067818488;3,29;28998;768x512;0,5899;23;0,960947631;39,02724319;8,134971619;;;;;
caps;24;0,066935066;3,18;27620;768x512;0,5619;24;0,959125283;38,75732708;8,656606038;;;;;
caps;25;0,065355482;3,15;25834;768x512;0,5255;25;0,95635605;38,38201278;9,437980652;;;;;
caps;26;0,064815522;3,17;24117;768x512;0,4906;26;0,953509083;38,01836145;10,26228841;;;;;
caps;27;0,06403271;3,06;22669;768x512;0,4612;27;0,950512065;37,68822751;11,07280392;;;;;
carnivaldolls;0;0,124165261;6,03;311439;610x488;8,3697;0;0,99942004;54,98381167;0,20639501;;;;;
carnivaldolls;1;0,112773206;5,07;229242;610x488;6,1607;1;0,997763246;49,8607806;0,671432411;;;;;
carnivaldolls;2;0,107273384;4,76;193267;610x488;5,1939;2;0,996995938;48,53175371;0,911811341;;;;;
carnivaldolls;3;0,103195485;4,66;167372;610x488;4,498;3;0,996183086;47,35047107;1,196832169;;;;;
carnivaldolls;4;0,100262788;4,5;150106;610x488;4,034;4;0,995344358;46,38423489;1,495053973;;;;;
carnivaldolls;5;0,098857735;4,47;135418;610x488;3,6392;5;0,99446047;45,42174622;1,865974648;;;;;
carnivaldolls;6;0,0964306;4,39;124485;610x488;3,3454;6;0,993600527;44,63994658;2,234013034;;;;;
carnivaldolls;7;0,095214218;4,39;114489;610x488;3,0768;7;0,992683393;43,75839409;2,736786706;;;;;
carnivaldolls;8;0,093432233;4,32;106894;610x488;2,8727;8;0,991831173;43,11439266;3,174249754;;;;;
carnivaldolls;9;0,092748492;4,32;99565;610x488;2,6757;9;0,990892019;42,46977331;3,682163173;;;;;
carnivaldolls;10;0,089735685;4,13;93845;610x488;2,522;10;0,990024531;41,9116677;4,187102481;;;;;
carnivaldolls;11;0,087706102;4,05;88630;610x488;2,3818;11;0,989203883;41,40728454;4,702750157;;;;;
carnivaldolls;12;0,085534836;3,95;83476;610x488;2,2433;12;0,988188308;40,8502765;5,346292439;;;;;
carnivaldolls;13;0,084160014;3,9;79206;610x488;2,1286;13;0,987361064;40,39893014;5,931811565;;;;;
carnivaldolls;14;0,082742071;3,82;75326;610x488;2,0243;14;0,986429762;39,99054033;6,516678984;;;;;
carnivaldolls;15;0,081350197;3,81;71881;610x488;1,9317;15;0,985527204;39,59554135;7,137173027;;;;;
carnivaldolls;16;0,081114747;3,81;68063;610x488;1,8291;16;0,984610635;39,16676615;7,877778151;;;;;
carnivaldolls;17;0,080310985;3,68;65035;610x488;1,7477;17;0,983566834;38,81371469;8,544937517;;;;;
carnivaldolls;18;0,079035653;3,67;62244;610x488;1,6727;18;0,982737197;38,47060827;9,247397653;;;;;
carnivaldolls;19;0,07813868;3,66;59845;610x488;1,6083;19;0,981713158;38,14661116;9,963667921;;;;;
carnivaldolls;20;0,077191939;3,6;57262;610x488;1,5388;20;0,980501854;37,81985691;10,74223551;;;;;
carnivaldolls;21;0,077417639;3,63;55022;610x488;1,4786;21;0,979607952;37,52594646;11,49438435;;;;;
carnivaldolls;22;0,075879966;3,62;53045;610x488;1,4255;22;0,978663161;37,24946416;12,24993953;;;;;
carnivaldolls;23;0,07778567;3,72;51306;610x488;1,3788;23;0,977581197;36,98866704;13,0080937;;;;;
carnivaldolls;24;0,075111444;3,52;49168;610x488;1,3213;24;0,976252198;36,68026697;13,96540916;;;;;
carnivaldolls;25;0,074003722;3,45;46175;610x488;1,2409;25;0,974276301;36,23269955;15,48140621;;;;;
carnivaldolls;26;0,072875709;3,42;43351;610x488;1,165;26;0,971975571;35,80196856;17,09556683;;;;;
carnivaldolls;27;0,071824697;3,46;40985;610x488;1,1014;27;0,969920818;35,44424272;18,56333871;;;;;
carnivaldolls;28;0,071114585;3,33;38853;610x488;1,0441;28;0,967740337;35,06959786;20,23580915;;;;;
carnivaldolls;29;0,069716812;3,27;36899;610x488;0,9916;29;0,965391004;34,7167105;21,9487257;;;;;
carnivaldolls;30;0,069168411;3,27;35234;610x488;0,9468;30;0,963405292;34,41207212;23,54361507;;;;;
carnivaldolls;31;0,068268389;2,97;32841;610x488;0,8825;31;0,959753811;33,95396696;26,16276651;;;;;
carnivaldolls;32;0,067634377;3,44;30772;610x488;0,8269;32;0,956012379;33,53264871;28,82806481;;;;;
carnivaldolls;33;0,065894604;3,12;28944;610x488;0,7778;33;0,952466353;33,1487894;31,49208546;;;;;
cemetry;0;0,142612281;6,72;432754;627x482;11,4555;0;0,999209308;53,36190052;0,29984051;;;;;
cemetry;1;0,135739126;5,99;336182;627x482;8,8991;1;0,99837198;48,60204018;0,897173305;;;;;
cemetry;2;0,130544105;5,8;287458;627x482;7,6093;2;0,997881604;47,27020308;1,219158168;;;;;
cemetry;3;0,127035427;5,62;251567;627x482;6,6593;3;0,997332591;46,13719681;1,582561805;;;;;
cemetry;4;0,125846525;5,68;227184;627x482;6,0138;4;0,99668529;45,18026522;1,972667271;;;;;
cemetry;5;0,123260869;5,52;206499;627x482;5,4662;5;0,995890206;44,21290164;2,464848308;;;;;
cemetry;6;0,121964787;5,43;191003;627x482;5,056;6;0,995030029;43,35123392;3,005778466;;;;;
cemetry;7;0,120295442;5,48;176499;627x482;4,6721;7;0,993958174;42,47107413;3,681060441;;;;;
cemetry;8;0,117203746;5,26;164689;627x482;4,3595;8;0,992872548;41,75246659;4,343438755;;;;;
cemetry;9;0,113815409;5,15;153020;627x482;4,0506;9;0,991621496;41,03922968;5,118673082;;;;;
cemetry;10;0,109535289;4,99;143986;627x482;3,8114;10;0,990375961;40,45500443;5,855714825;;;;;
cemetry;11;0,106368692;4,81;135763;627x482;3,5938;11;0,989038644;39,9200557;6,623305561;;;;;
cemetry;12;0,102524333;4,72;127996;627x482;3,3882;12;0,9875472;39,36255694;7,530514801;;;;;
cemetry;13;0,100246429;4,61;121439;627x482;3,2146;13;0,986158344;38,90082776;8,375246238;;;;;
cemetry;14;0,098465135;4,54;115823;627x482;3,0659;14;0,984719833;38,4904921;9,205155949;;;;;
cemetry;15;0,097465222;4,52;110392;627x482;2,9222;15;0,98314654;38,08080702;10,11578661;;;;;
cemetry;16;0,095585209;4,44;104852;627x482;2,7755;16;0,981352042;37,64588626;11,18128545;;;;;
cemetry;17;0,095043538;4,38;100402;627x482;2,6577;17;0,979850135;37,29155372;12,13179292;;;;;
cemetry;18;0,093369554;4,36;96088;627x482;2,5435;18;0,978110835;36,95376128;13,11306558;;;;;
cemetry;19;0,092372162;4,28;92160;627x482;2,4395;19;0,97649425;36,63874233;14,09957844;;;;;
cemetry;20;0,09154019;4,34;87995;627x482;2,3293;20;0,974418635;36,27528047;15,33035862;;;;;
cemetry;21;0,089493175;4,2;84414;627x482;2,2345;21;0,972650292;35,98232798;16,4001403;;;;;
cemetry;22;0,088088842;4,23;81616;627x482;2,1604;22;0,971050303;35,73376564;17,36615996;;;;;
cemetry;23;0,087759691;4,15;78682;627x482;2,0828;23;0,96927819;35,4664274;18,46875503;;;;;
cemetry;24;0,087893812;4,51;75290;627x482;1,993;24;0,966934006;35,15113517;19,85943294;;;;;
cemetry;25;0,085866528;3,94;70400;627x482;1,8635;25;0,963007195;34,68497351;22,10970813;;;;;
cemetry;26;0,084389824;3,93;65967;627x482;1,7462;26;0,959014829;34,25539177;24,40850523;;;;;
cemetry;27;0,083194591;3,9;62056;627x482;1,6427;27;0,955277872;33,86985906;26,67438746;;;;;
