Filename;q_flag;Avg Time;Avg Energy;File Size;Resolution;bpp;q_flag;ssim;psnr;mse;;min fs;max fs ;avg fs;median fs
manfishing;93;0,041991346;1,92;97326;634x438;2,8038;93;0,990977371;39,5553014;7,203610475;;;;;
manfishing;94;0,042025056;1,61;105046;634x438;3,0262;94;0,992200365;39,92282234;6,619087574;;;;;
manfishing;95;0,04369821;2,03;112566;634x438;3,2429;95;0,992893619;40,27333982;6,105853488;;;;;
manfishing;96;0,04398361;1,65;120372;634x438;3,4677;96;0,993828565;40,59920713;5,66447479;;;;;
manfishing;97;0,045416904;2,05;128572;634x438;3,704;97;0,99470581;40,84120679;5,357469186;;;;;
manfishing;98;0,046202446;1,69;134824;634x438;3,8841;98;0,995122508;40,99292853;5,173536388;;;;;
manfishing;99;0,046906298;2,14;141984;634x438;4,0904;99;0,995698344;41,13875933;5,002699634;;;;;
monarch;98;0,059007978;2,27;150520;768x512;3,0623;98;0,990321382;42,51628634;3,642937554;;;;;
monarch;99;0,058699117;2,29;160200;768x512;3,2592;99;0,991390962;42,8899071;3,342640347;;;;;
ocean;97;0,055301009;2,41;139856;768x512;2,8453;97;0,99033918;44,25102806;2,443304274;;;;;
ocean;98;0,059592299;2,5;156550;768x512;3,185;98;0,991948877;44,68093128;2,21302965;;;;;
ocean;99;0,065165454;3,03;164916;768x512;3,3552;99;0,992878129;44,99605758;2,058138529;;;;;
paintedhouse;93;0,055998011;2,26;143408;768x512;2,9176;93;0,990001535;38,45815951;9,273942735;;;;;
paintedhouse;94;0,057932006;2,27;154656;768x512;3,1464;94;0,991232685;38,69187909;8,788048638;;;;;
paintedhouse;95;0,058845528;2,32;159000;768x512;3,2348;95;0,991493324;38,81151037;8,549275716;;;;;
paintedhouse;96;0,059891611;2,39;171250;768x512;3,484;96;0,992555888;39,09280689;8,013083564;;;;;
paintedhouse;97;0,062134506;2,46;186636;768x512;3,7971;97;0,993652946;39,37036742;7,51698388;;;;;
paintedhouse;98;0,065964875;2,64;196736;768x512;4,0026;98;0,994149675;39,41195501;7,445345561;;;;;
paintedhouse;99;0,063179579;2,54;206280;768x512;4,1967;99;0,994842691;39,53167745;7,24290212;;;;;
parrots;99;0,055907051;2,11;138040;768x512;2,8084;99;0,989737781;44,03546428;2,567638821;;;;;
plane;98;0,049367644;1,85;120252;768x512;2,4465;98;0,990289711;43,3572723;3,001602173;;;;;
plane;99;0,050274937;2,33;126418;768x512;2,5719;99;0,990739201;43,49791983;2,905951606;;;;;
rapids;93;0,059102068;2,28;152678;768x512;3,1062;93;0,990065518;39,28726056;7,662214491;;;;;
rapids;94;0,061292954;2,45;162802;768x512;3,3122;94;0,99153721;39,59944788;7,130755954;;;;;
rapids;95;0,060433482;2,37;168706;768x512;3,4323;95;0,99231914;39,93421297;6,601749844;;;;;
rapids;96;0,060696433;2,41;178464;768x512;3,6308;96;0,993064539;40,22402346;6,175583733;;;;;
rapids;97;0,064559042;2,85;193626;768x512;3,9393;97;0,994206806;40,63137269;5,622676426;;;;;
rapids;98;0,071502479;2,96;205474;768x512;4,1803;98;0,994777569;40,76551586;5,451660156;;;;;
rapids;99;0,065506904;2,92;220044;768x512;4,4768;99;0,995439375;41,08618106;5,063633389;;;;;
sailing1;94;0,056397421;2,2;149598;768x512;3,0435;94;0,990602996;41,74316453;4,352751838;;;;;
sailing1;95;0,057127283;2,17;155156;768x512;3,1566;95;0,991409831;42,10392014;4,005791558;;;;;
sailing1;96;0,059244749;2,28;164688;768x512;3,3505;96;0,992047232;42,49817073;3,658164978;;;;;
sailing1;97;0,05970339;2,3;178288;768x512;3,6272;97;0,993339178;42,9777601;3,275701735;;;;;
sailing1;98;0,060729043;2,37;186672;768x512;3,7978;98;0,993843017;43,21477271;3,101723565;;;;;
sailing1;99;0,061678565;2,37;196700;768x512;4,0018;99;0,994548216;43,46764274;2,926281399;;;;;
sailing2;99;0,053079534;2,01;138092;480x720;3,1965;99;0,990510236;43,90037177;2,648763503;;;;;
sailing3;98;0,05195635;1,93;136976;480x720;3,1707;98;0,990644835;43,42268645;2,956730324;;;;;
sailing3;99;0,052815482;2,35;144238;480x720;3,3388;99;0,991765741;43,6517587;2,804816744;;;;;
sailing4;96;0,057930735;2,2;156286;768x512;3,1796;96;0,991018313;42,92985717;3,312032912;;;;;
sailing4;97;0,059262269;2,3;170060;768x512;3,4598;97;0,992349768;43,35772246;3,001291063;;;;;
sailing4;98;0,060308381;2,41;178120;768x512;3,6238;98;0,992945571;43,58556471;2,847894457;;;;;
sailing4;99;0,06383586;2,54;187398;768x512;3,8126;99;0,993798983;43,84463199;2,682978312;;;;;
statue;98;0,051938571;1,92;141678;480x720;3,2795;98;0,991904407;43,48752157;2,912917631;;;;;
statue;99;0,053927416;2,36;149350;480x720;3,4571;99;0,992896812;43,73344968;2,752551119;;;;;
stream;88;0,059713854;2,55;166116;768x512;3,3796;88;0,990687132;37,56566098;11,38975186;;;;;
stream;89;0,059986165;2,45;171284;768x512;3,4847;89;0,991629432;37,85558711;10,65421973;;;;;
stream;90;0,060498196;2,54;179492;768x512;3,6517;90;0,992744131;38,40909011;9,379319933;;;;;
stream;91;0,061541159;2,52;189868;768x512;3,8628;91;0,993836997;38,96316469;8,255889893;;;;;
stream;92;0,061822429;2,66;194316;768x512;3,9533;92;0,994319893;39,17579145;7,861423916;;;;;
stream;93;0,063063771;2,66;201142;768x512;4,0922;93;0,994896726;39,55158836;7,209771898;;;;;
stream;94;0,064944506;2,75;218058;768x512;4,4364;94;0,995857993;40,28370605;6,091296726;;;;;
stream;95;0,06682319;2,78;228018;768x512;4,639;95;0,996276591;40,71917302;5,510145399;;;;;
stream;96;0,067968002;2,83;239562;768x512;4,8739;96;0,996842959;41,04829111;5,108004252;;;;;
stream;97;0,069598386;2,88;252968;768x512;5,1466;97;0,997237781;41,50488775;4,598239475;;;;;
stream;98;0,069989568;3,06;262582;768x512;5,3422;98;0,997512609;41,63184557;4,465764364;;;;;
stream;99;0,070480599;2,98;274452;768x512;5,5837;99;0,997780266;41,82643085;4,270092434;;;;;
