Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp,,,,48984.0137978613
caps,7,0.03178806,1.48,6304,768x512,0.1282,,,,
caps,8,0.03195677,1.5,6574,768x512,0.1337,,,,
caps,9,0.03172706,1.47,6910,768x512,0.1405,,,,
caps,10,0.032117541,1.48,7082,768x512,0.144,,,,
caps,11,0.032043581,1.53,7376,768x512,0.15,,,,
caps,12,0.032244921,1.48,7676,768x512,0.1561,,,,
caps,13,0.032679192,1.51,7842,768x512,0.1595,,,,
caps,14,0.032850232,1.51,8266,768x512,0.1681,,,,
caps,15,0.032868572,1.53,8452,768x512,0.1719,,,,
caps,16,0.032960153,1.54,8686,768x512,0.1767,,,,
caps,17,0.033111344,1.54,9048,768x512,0.184,,,,
caps,18,0.032717523,1.49,9192,768x512,0.187,,,,
caps,19,0.033240104,1.55,9470,768x512,0.1926,,,,
caps,20,0.033500324,1.59,9728,768x512,0.1979,,,,
caps,21,0.033584354,1.61,9970,768x512,0.2028,,,,
caps,22,0.033441535,1.54,10090,768x512,0.2052,,,,
caps,23,0.033550324,1.54,10442,768x512,0.2124,,,,
caps,24,0.033470004,1.61,10618,768x512,0.216,,,,
caps,25,0.033391173,1.51,10840,768x512,0.2205,,,,
caps,26,0.033767085,1.57,11120,768x512,0.2262,,,,
caps,27,0.033942056,1.58,11450,768x512,0.2329,,,,
caps,28,0.034038486,1.56,11618,768x512,0.2363,,,,
caps,29,0.034028086,1.5,11966,768x512,0.2434,,,,
caps,30,0.034349916,1.57,12232,768x512,0.2488,,,,
caps,31,0.034211556,1.57,12528,768x512,0.2548,,,,
caps,32,0.034629917,1.56,12888,768x512,0.2622,,,,
caps,33,0.034215086,1.57,13038,768x512,0.2652,,,,
caps,34,0.035116718,1.66,13310,768x512,0.2707,,,,
caps,35,0.034914118,1.67,13650,768x512,0.2777,,,,
caps,36,0.034955798,1.61,13970,768x512,0.2842,,,,
caps,37,0.036996743,1.75,14216,768x512,0.2892,,,,
caps,38,0.034991168,1.62,14306,768x512,0.291,,,,
caps,39,0.035123769,1.6,14610,768x512,0.2972,,,,
caps,40,0.035090288,1.64,14956,768x512,0.3042,,,,
caps,41,0.035181338,1.32,15332,768x512,0.3119,,,,
caps,42,0.035130519,1.62,15546,768x512,0.3162,,,,
caps,43,0.035259118,1.62,15844,768x512,0.3223,,,,
caps,44,0.035397779,1.61,16168,768x512,0.3289,,,,
caps,45,0.035656649,1.66,16434,768x512,0.3343,,,,
caps,46,0.035499589,1.64,16750,768x512,0.3407,,,,
caps,47,0.045391664,1.99,17050,768x512,0.3468,,,,
caps,48,0.03565488,1.46,17212,768x512,0.3501,,,,
caps,49,0.03568804,1.69,17626,768x512,0.3586,,,,
caps,50,0.035923751,1.66,17940,768x512,0.3649,,,,
caps,51,0.035738399,1.67,17948,768x512,0.3651,,,,
caps,52,0.03582729,1.36,18458,768x512,0.3755,,,,
caps,53,0.036244681,1.66,18630,768x512,0.379,,,,
caps,54,0.036277511,1.36,18692,768x512,0.3802,,,,
caps,55,0.036414592,1.67,19006,768x512,0.3866,,,,
caps,56,0.036531972,1.65,19164,768x512,0.3898,,,,
caps,57,0.036257791,1.4,19746,768x512,0.4017,,,,
caps,58,0.036849833,1.7,19984,768x512,0.4065,,,,
caps,59,0.036332542,1.37,20188,768x512,0.4107,,,,
caps,60,0.036392882,1.72,20616,768x512,0.4194,,,,
caps,61,0.036565172,1.74,21118,768x512,0.4296,,,,
caps,62,0.036395011,1.37,21162,768x512,0.4305,,,,
caps,63,0.037063883,1.73,21316,768x512,0.4336,,,,
caps,64,0.036383631,1.4,21714,768x512,0.4417,,,,
caps,65,0.037061033,1.71,22136,768x512,0.4503,,,,
caps,66,0.036188791,1.37,22230,768x512,0.4522,,,,
caps,67,0.037408564,1.8,22442,768x512,0.4565,,,,
caps,68,0.036937023,1.41,23100,768x512,0.4699,,,,
caps,69,0.037605975,1.77,23392,768x512,0.4759,,,,
caps,70,0.037048653,1.4,23956,768x512,0.4873,,,,
caps,71,0.037857796,1.76,24138,768x512,0.491,,,,
caps,72,0.037147804,1.42,24406,768x512,0.4965,,,,
caps,73,0.038090726,1.76,24714,768x512,0.5028,,,,
caps,74,0.037668375,1.44,25158,768x512,0.5118,,,,
caps,75,0.038300846,1.78,25356,768x512,0.5158,,,,
caps,76,0.038574707,1.46,26736,768x512,0.5439,,,,
caps,77,0.038226686,1.83,27666,768x512,0.5628,,,,
caps,78,0.038116266,1.44,29202,768x512,0.5941,,,,
caps,79,0.039424729,1.83,30586,768x512,0.6222,,,,
caps,80,0.038458127,1.48,31684,768x512,0.6446,,,,
caps,81,0.039596629,1.91,33472,768x512,0.6809,,,,
caps,82,0.039408469,1.48,34872,768x512,0.7094,,,,
caps,83,0.04018011,1.87,36562,768x512,0.7438,,,,
caps,84,0.040741423,1.52,38296,768x512,0.7791,,,,
caps,85,0.041418614,1.89,41058,768x512,0.8353,,,,
caps,86,0.041469234,1.59,43242,768x512,0.8797,,,,
caps,87,0.041808604,1.98,45242,768x512,0.9204,,,,
caps,88,0.041955265,1.6,47326,768x512,0.9628,,,,
caps,89,0.043300899,2.04,51374,768x512,1.0452,,,,
caps,90,0.043085308,1.63,54816,768x512,1.1152,,,,
caps,91,0.044061511,2.07,59108,768x512,1.2025,,,,
caps,92,0.044681702,1.7,65668,768x512,1.336,,,,
caps,93,0.045643545,2.15,70420,768x512,1.4326,,,,
caps,94,0.047416649,1.81,78536,768x512,1.5978,,,,
caps,95,0.049948786,2.33,91012,768x512,1.8516,,,,
caps,96,0.050289676,1.89,100364,768x512,2.0419,,,,
caps,97,0.051205918,2.26,104860,768x512,2.1333,,,,
caps,98,0.053237864,2.04,123038,768x512,2.5032,,,,
caps,99,0.054123706,2.49,128904,768x512,2.6225,,,,
carnivaldolls,0,0.026143445,1,5460,610x488,0.1467,,,,
carnivaldolls,1,0.026955608,1.26,7808,610x488,0.2098,,,,
carnivaldolls,2,0.02781633,1.3,8752,610x488,0.2352,,,,
carnivaldolls,3,0.02796252,1.29,9444,610x488,0.2538,,,,
carnivaldolls,4,0.028237501,1.35,10104,610x488,0.2715,,,,
carnivaldolls,5,0.028572922,1.34,10654,610x488,0.2863,,,,
carnivaldolls,6,0.028713892,1.32,11226,610x488,0.3016,,,,
carnivaldolls,7,0.029183743,1.35,11714,610x488,0.3148,,,,
carnivaldolls,8,0.029124903,1.32,12160,610x488,0.3267,,,,
carnivaldolls,9,0.029267123,1.33,12694,610x488,0.3411,,,,
carnivaldolls,10,0.036866633,1.6,13144,610x488,0.3532,,,,
carnivaldolls,11,0.029420683,1.41,13682,610x488,0.3676,,,,
carnivaldolls,12,0.029591435,1.34,13996,610x488,0.3761,,,,
carnivaldolls,13,0.029537614,1.35,14514,610x488,0.39,,,,
carnivaldolls,14,0.029669235,1.37,14860,610x488,0.3993,,,,
carnivaldolls,15,0.029978425,1.37,15168,610x488,0.4076,,,,
carnivaldolls,16,0.030003936,1.41,15754,610x488,0.4233,,,,
carnivaldolls,17,0.029941066,1.38,16098,610x488,0.4326,,,,
carnivaldolls,18,0.030071955,1.43,16528,610x488,0.4441,,,,
carnivaldolls,19,0.030091966,1.4,16844,610x488,0.4526,,,,
carnivaldolls,20,0.030034785,1.13,17274,610x488,0.4642,,,,
carnivaldolls,21,0.030290447,1.45,17680,610x488,0.4751,,,,
carnivaldolls,22,0.030487257,1.37,18154,610x488,0.4878,,,,
carnivaldolls,23,0.030126216,1.39,18494,610x488,0.497,,,,
carnivaldolls,24,0.030902877,1.43,19020,610x488,0.5111,,,,
carnivaldolls,25,0.031011678,1.46,19416,610x488,0.5217,,,,
carnivaldolls,26,0.031122389,1.44,19858,610x488,0.5336,,,,
carnivaldolls,27,0.030777617,1.3,20318,610x488,0.546,,,,
carnivaldolls,28,0.030672707,1.43,20714,610x488,0.5566,,,,
carnivaldolls,29,0.030780657,1.13,21220,610x488,0.5702,,,,
carnivaldolls,30,0.031421389,1.42,21590,610x488,0.5802,,,,
carnivaldolls,31,0.030864858,1.19,22024,610x488,0.5918,,,,
carnivaldolls,32,0.031518609,1.47,22426,610x488,0.6026,,,,
carnivaldolls,33,0.031106578,1.18,22772,610x488,0.6119,,,,
carnivaldolls,34,0.031601419,1.42,23244,610x488,0.6246,,,,
