Filename;q_flag;Avg Time;Avg Energy;File Size;Resolution;bpp;;ssim;psnr;mse;;min fs;max fs ;avg fs;median fs
buildings;91;0,049426047;2,9;133738;768x512;2,7209;91;0,985014929;37,19461525;12,40563032;;;;;
buildings;92;0,05054888;2,92;142474;768x512;2,8986;92;0,987199937;37,73880148;10,94460805;;;;;
buildings;93;0,053448667;3,12;152002;768x512;3,0924;93;0,989272677;38,33926174;9,531344944;;;;;
buildings;94;0,051003891;2,9;162704;768x512;3,3102;94;0,991244219;39,01795348;8,152391222;;;;;
buildings;95;0,050593169;2,88;176390;768x512;3,5886;95;0,993112443;39,77282301;6,851695591;;;;;
buildings;96;0,053266446;3,05;193500;768x512;3,9367;96;0,994747087;40,64623453;5,603468153;;;;;
buildings;97;0,052531534;3,11;215290;768x512;4,38;97;0,996209608;41,68792623;4,408468458;;;;;
buildings;98;0,0545627;3,12;247728;768x512;5,04;98;0,997464024;43,21741208;3,099839105;;;;;
buildings;99;0,05856757;3,3;293281;768x512;5,9668;99;0,998365687;44,87241753;2,117574056;;;;;
caps;73;0,036025732;2,25;27942;768x512;0,5684;73;0,950048063;35,97931123;16,41153632;;;;;
caps;74;0,038711819;2,38;28638;768x512;0,5826;74;0,951700549;36,14982541;15,77966648;;;;;
caps;75;0,035575281;2,39;29284;768x512;0,5957;75;0,95291111;36,21447247;15,54651727;;;;;
caps;76;0,03906863;2,27;30146;768x512;0,6133;76;0,954568636;36,44568429;14,74049038;;;;;
caps;77;0,037832976;2,22;31147;768x512;0,6336;77;0,955911598;36,56271584;14,34857517;;;;;
caps;78;0,040062902;2,27;32066;768x512;0,6523;78;0,957535966;36,74694374;13,75263723;;;;;
caps;79;0,036574043;2,28;33173;768x512;0,6749;79;0,959192753;36,97853166;13,0384869;;;;;
caps;80;0,039623121;2,4;34371;768x512;0,6992;80;0,960789406;37,14506147;12,54799143;;;;;
caps;81;0,038595288;2,37;35380;768x512;0,7198;81;0,962390404;37,31895087;12,0555013;;;;;
caps;82;0,036108383;2,26;36729;768x512;0,7472;82;0,963891604;37,45999446;11,67027028;;;;;
caps;83;0,036619584;2,22;38232;768x512;0,7778;83;0,965508126;37,70665907;11,02591027;;;;;
caps;84;0,039941522;2,43;39927;768x512;0,8123;84;0,967174448;37,93479242;10,46167247;;;;;
caps;85;0,040201693;2,47;41627;768x512;0,8469;85;0,968396542;38,141518;9,975359599;;;;;
caps;86;0,038122748;2,44;43526;768x512;0,8855;86;0,970032242;38,30323464;9,610741509;;;;;
caps;87;0,045542346;2,77;45851;768x512;0,9328;87;0,971387022;38,47990519;9,227622986;;;;;
caps;88;0,041357096;2,38;47884;768x512;0,9742;88;0,972692407;38,64863011;8,876001146;;;;;
caps;89;0,037953567;2,45;50430;768x512;1,026;89;0,974273799;39,01877636;8,150846693;;;;;
caps;90;0,042045587;2,51;53739;768x512;1,0933;90;0,975852229;39,36015704;7,534677294;;;;;
