Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp,,,,,
buildings,4,0.14679599,6.45,255776,768x512,5.2037,,,,,
buildings,5,0.145609758,6.27,230868,768x512,4.697,,,,,
buildings,6,0.14232584,6.22,212401,768x512,4.3213,,,,,
buildings,7,0.141413379,5.89,195246,768x512,3.9722,,,,,
buildings,8,0.136322307,6.33,182446,768x512,3.7118,,,,,
buildings,9,0.134285233,6,169837,768x512,3.4553,,,,,
buildings,10,0.129928853,5.88,160250,768x512,3.2602,,,,,
buildings,11,0.126361266,5.75,151487,768x512,3.082,,,,,
buildings,12,0.121570785,5.46,143132,768x512,2.912,,,,,
buildings,13,0.118668268,5.27,136751,768x512,2.7822,,,,,
buildings,14,0.118761939,5.4,130596,768x512,2.6569,,,,,
buildings,15,0.114102399,5.19,125020,768x512,2.5435,,,,,
buildings,16,0.112224785,5.06,119327,768x512,2.4277,,,,,
buildings,17,0.111122613,5.08,114602,768x512,2.3315,,,,,
buildings,18,0.108883577,4.96,110350,768x512,2.245,,,,,
buildings,19,0.108724777,4.88,106373,768x512,2.1641,,,,,
buildings,20,0.108755917,5.04,102343,768x512,2.0821,,,,,
buildings,21,0.10520558,4.87,98957,768x512,2.0132,,,,,
buildings,22,0.104721368,4.86,95755,768x512,1.9481,,,,,
buildings,23,0.103565116,4.85,92733,768x512,1.8866,,,,,
buildings,24,0.102882464,4.98,89221,768x512,1.8152,,,,,
buildings,25,0.101483552,4.73,84047,768x512,1.7099,,,,,
buildings,26,0.10122074,4.77,79716,768x512,1.6218,,,,,
buildings,27,0.097874183,4.62,75814,768x512,1.5424,,,,,
buildings,28,0.0965843,4.57,72071,768x512,1.4662,,,,,
buildings,29,0.095320878,4.54,68847,768x512,1.4006,,,,,
buildings,30,0.094265045,4.49,65852,768x512,1.3397,,,,,
buildings,31,0.092013091,4.39,61850,768x512,1.2583,,,,,
buildings,32,0.094143185,4.46,58091,768x512,1.1818,,,,,
buildings,33,0.090172107,4.27,54968,768x512,1.1183,,,,,
buildings,34,0.088574803,4.14,52190,768x512,1.0618,,,,,
buildings,35,0.087860931,4.17,48862,768x512,0.994,,,,,
buildings,36,0.086443719,4.07,45849,768x512,0.9328,,,,,
buildings,37,0.085020955,4.06,43066,768x512,0.8761,,,,,
buildings,38,0.083783902,4.13,40378,768x512,0.8214,,,,,
buildings,39,0.082668831,4.03,37869,768x512,0.7704,,,,,
buildings,40,0.081578728,3.93,35674,768x512,0.7257,,,,,
buildings,41,0.080586966,3.89,33319,768x512,0.6778,,,,,
buildings,42,0.079600094,3.84,31313,768x512,0.637,,,,,
buildings,43,0.07813883,3.76,29217,768x512,0.5944,,,,,
buildings,44,0.077192909,3.78,27280,768x512,0.555,,,,,
buildings,45,0.076191486,3.68,25359,768x512,0.5159,,,,,
buildings,46,0.074949404,3.66,23719,768x512,0.4825,,,,,
buildings,47,0.07360165,3.65,22120,768x512,0.45,,,,,
buildings,48,0.072796469,3.57,20687,768x512,0.4208,,,,,
buildings,49,0.070655604,3.48,19212,768x512,0.3908,,,,,
buildings,50,0.070595744,3.52,17847,768x512,0.363,,,,,
