Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp,,avg time,avg energy,,,
buildings,4,0.063649958,2.92,271951,768x512,5.5328,,,,,,
buildings,5,0.062668276,2.94,246871,768x512,5.0226,,,,,,
buildings,6,0.059078599,2.69,226828,768x512,4.6148,,,,,,
buildings,7,0.058259307,2.7,210027,768x512,4.273,,,,,,
buildings,8,0.056602733,2.58,196678,768x512,4.0014,,,,,,
buildings,9,0.055698181,2.55,184112,768x512,3.7457,,,,,,
buildings,10,0.054644079,2.47,174101,768x512,3.542,,,,,,
buildings,11,0.053725427,2.46,165177,768x512,3.3605,,,,,,
buildings,12,0.052663805,2.44,156622,768x512,3.1864,,,,,,
buildings,13,0.052985696,2.47,149593,768x512,3.0434,,,,,,
buildings,14,0.051354912,2.57,143144,768x512,2.9122,,,,,,
buildings,15,0.054848749,2.7,137293,768x512,2.7932,,,,,,
buildings,16,0.052282194,2.58,130722,768x512,2.6595,,,,,,
buildings,17,0.05051961,2.39,125778,768x512,2.5589,,,,,,
buildings,18,0.05039279,2.42,121276,768x512,2.4673,,,,,,
buildings,19,0.049774289,2.41,117068,768x512,2.3817,,,,,,
buildings,20,0.049494328,2.34,112891,768x512,2.2967,,,,,,
buildings,21,0.051107812,2.62,109150,768x512,2.2206,,,,,,
buildings,22,0.048816746,2.39,105642,768x512,2.1492,,,,,,
buildings,23,0.049534428,2.65,102410,768x512,2.0835,,,,,,
buildings,24,0.048811117,2.4,98590,768x512,2.0058,,,,,,
buildings,25,0.047433513,2.46,93167,768x512,1.8954,,,,,,
buildings,26,0.047121973,2.56,88291,768x512,1.7962,,,,,,
buildings,27,0.047654344,2.33,84036,768x512,1.7097,,,,,,
buildings,28,0.0459685,2.28,80090,768x512,1.6294,,,,,,
buildings,29,0.04589733,2.28,76382,768x512,1.5539,,,,,,
buildings,30,0.044833838,2.2,72880,768x512,1.4827,,,,,,
buildings,31,0.045320539,2.28,68093,768x512,1.3853,,,,,,
buildings,32,0.044649407,2.22,64037,768x512,1.3028,,,,,,
buildings,33,0.043831916,2.28,60449,768x512,1.2298,,,,,,
buildings,34,0.042762743,2.09,57281,768x512,1.1653,,,,,,
buildings,35,0.042534123,1.9,53684,768x512,1.0922,,,,,,
buildings,36,0.042704474,2.07,50271,768x512,1.0227,,,,,,
buildings,37,0.042593963,2.12,47289,768x512,0.962,,,,,,
buildings,38,0.042154562,2.03,44331,768x512,0.9019,,,,,,
buildings,39,0.041911961,2.06,41444,768x512,0.8431,,,,,,
buildings,40,0.041581871,2.07,38894,768x512,0.7913,,,,,,
buildings,41,0.04095059,1.96,36210,768x512,0.7366,,,,,,
buildings,42,0.040355338,1.71,33909,768x512,0.6898,,,,,,
buildings,43,0.039837087,1.68,31549,768x512,0.6418,,,,,,
buildings,44,0.039100085,1.62,29393,768x512,0.598,,,,,,
buildings,45,0.039050885,1.62,27239,768x512,0.5541,,,,,,
buildings,46,0.038436034,1.64,25306,768x512,0.5148,,,,,,
buildings,47,0.037700412,1.54,23549,768x512,0.4791,,,,,,
buildings,48,0.038507084,1.68,21902,768x512,0.4455,,,,,,
buildings,49,0.038162583,1.64,20252,768x512,0.412,,,,,,
buildings,50,0.039403756,2.11,18771,768x512,0.3818,,,,,,
buildings,51,0.037801132,1.89,17325,768x512,0.3524,,,,,,
buildings,52,0.037465322,1.72,15996,768x512,0.3254,,,,,,
buildings,53,0.036730001,1.62,14736,768x512,0.2998,,,,,,
buildings,54,0.036207889,1.57,13488,768x512,0.2744,,,,,,
buildings,55,0.03662995,1.64,12282,768x512,0.2498,,,,,,
buildings,56,0.037752652,1.77,11222,768x512,0.2283,,,,,,
buildings,57,0.035986729,1.81,10098,768x512,0.2054,,,,,,
buildings,58,0.036171869,1.83,9111,768x512,0.1853,,,,,,
buildings,59,0.035127876,1.76,8187,768x512,0.1665,,,,,,
