Filename;q_flag;Avg Time;Avg Energy;File Size;Resolution;bpp;;ssim;psnr;mse;;min fs;max fs ;avg fs;median fs
caps;88;0,008928046;0,35;189474;768x512;3,8548;88;0,97995799;41,94817829;4,152049594;;;;;
caps;89;0,009554178;0,43;197182;768x512;4,0116;89;0,981115408;42,32331564;3,808454725;;;;;
caps;90;0,009331228;0,43;211534;768x512;4,3036;90;0,982431657;42,80856481;3,405837165;;;;;
caps;91;0,009425658;0,47;222683;768x512;4,5304;91;0,983701469;43,28523781;3,051803589;;;;;
caps;92;0,009881749;0,46;233470;768x512;4,7499;92;0,984974367;43,85385054;2,677289327;;;;;
caps;93;0,010321111;0,49;255856;768x512;5,2054;93;0,986392799;44,50735486;2,303270128;;;;;
caps;94;0,01030937;0,46;280652;768x512;5,7098;94;0,987912546;45,27116676;1,931806776;;;;;
caps;95;0,011483384;0,52;311564;768x512;6,3387;95;0,989395806;46,10522278;1,594256083;;;;;
caps;96;0,011387814;0,53;350132;768x512;7,1234;96;0,991255376;47,22959809;1,230610318;;;;;
caps;97;0,012365157;0,61;399303;768x512;8,1238;97;0,993118131;48,57885862;0,901974996;;;;;
caps;98;0,01352963;0,59;465276;768x512;9,466;98;0,99541959;50,6143813;0,564471775;;;;;
caps;99;0,015431706;0,71;566009;768x512;11,5154;99;0,997925839;54,5544231;0,227844238;;;;;
carnivaldolls;47;0,006098469;0,32;96030;610x488;2,5807;47;0,950353349;32,65571527;35,27839626;;;;;
carnivaldolls;48;0,006202699;0,25;97283;610x488;2,6144;48;0,951048438;32,71904564;34,76768678;;;;;
carnivaldolls;49;0,006184198;0,28;99289;610x488;2,6683;49;0,951989386;32,81820739;33,98283616;;;;;
carnivaldolls;50;0,006311839;0,27;99724;610x488;2,68;50;0,952475131;32,8804229;33,49948043;;;;;
carnivaldolls;51;0,006135978;0,27;100032;610x488;2,6883;51;0,95302579;32,94230275;33,02555205;;;;;
carnivaldolls;52;0,006418029;0,32;101887;610x488;2,7381;52;0,95413805;33,04328896;32,26647071;;;;;
carnivaldolls;53;0,006264158;0,27;103468;610x488;2,7806;53;0,954861919;33,11436938;31,74266774;;;;;
carnivaldolls;54;0,006180538;0,29;104390;610x488;2,8054;54;0,955689666;33,20743331;31,06969789;;;;;
carnivaldolls;55;0,006177039;0,27;105517;610x488;2,8357;55;0,956481749;33,29613356;30,44156701;;;;;
carnivaldolls;56;0,006417599;0,29;107107;610x488;2,8784;56;0,957365916;33,39633573;29,7472476;;;;;
carnivaldolls;57;0,006254978;0,27;108872;610x488;2,9258;57;0,958235836;33,4919419;29,09954313;;;;;
carnivaldolls;58;0,00662277;0,28;110656;610x488;2,9738;58;0,959162679;33,59441842;28,42094531;;;;;
carnivaldolls;59;0,006371769;0,27;111745;610x488;3,003;59;0,959808317;33,67814789;27,87825405;;;;;
carnivaldolls;60;0,006329399;0,27;112946;610x488;3,0353;60;0,960497533;33,77838457;27,24218288;;;;;
carnivaldolls;61;0,006337599;0,32;115122;610x488;3,0938;61;0,961431501;33,89111661;26,54414248;;;;;
carnivaldolls;62;0,00644419;0,31;116524;610x488;3,1315;62;0,962229528;33,9967777;25,90613298;;;;;
carnivaldolls;63;0,00667565;0,32;118597;610x488;3,1872;63;0,963006642;34,11715137;25,19795082;;;;;
carnivaldolls;64;0,006447059;0,27;119866;610x488;3,2213;64;0,963702235;34,21535363;24,63457068;;;;;
carnivaldolls;65;0,006555619;0,34;122342;610x488;3,2878;65;0,964620917;34,3426726;23,92286012;;;;;
carnivaldolls;66;0,006502589;0,32;124165;610x488;3,3368;66;0,965489843;34,47518199;23,20396287;;;;;
carnivaldolls;67;0,006788881;0,28;125912;610x488;3,3838;67;0,966295111;34,60044828;22,54423654;;;;;
carnivaldolls;68;0,00665877;0,33;128658;610x488;3,4576;68;0,967155274;34,73825892;21,84009227;;;;;
carnivaldolls;69;0,00664176;0,32;130565;610x488;3,5088;69;0,967927909;34,86620898;21,20603444;;;;;
carnivaldolls;70;0,006839311;0,32;133238;610x488;3,5807;70;0,96893193;35,02856419;20,42791028;;;;;
carnivaldolls;71;0,007088811;0,35;135839;610x488;3,6506;71;0,969883787;35,18450523;19,70742296;;;;;
carnivaldolls;72;0,00684871;0,32;137824;610x488;3,7039;72;0,97054283;35,32605285;19,07546247;;;;;
carnivaldolls;73;0,006894881;0,35;141091;610x488;3,7917;73;0,971245887;35,4799161;18,41148213;;;;;
carnivaldolls;74;0,006905581;0,33;145101;610x488;3,8995;74;0,972275209;35,69277867;17,53083065;;;;;
carnivaldolls;75;0,007003851;0,34;146158;610x488;3,9279;75;0,972869886;35,82566622;17,0025374;;;;;
carnivaldolls;76;0,007152572;0,32;149386;610x488;4,0146;76;0,974091562;36,0577427;16,11781219;;;;;
carnivaldolls;77;0,008000864;0,38;154101;610x488;4,1413;77;0,975298144;36,29580625;15,25807467;;;;;
carnivaldolls;78;0,007156851;0,32;158181;610x488;4,251;78;0,976208061;36,50385653;14,54436307;;;;;
carnivaldolls;79;0,007230801;0,32;160961;610x488;4,3257;79;0,977084399;36,71395151;13,8575103;;;;;
carnivaldolls;80;0,007372372;0,34;164954;610x488;4,433;80;0,978080994;36,97230375;13,05719789;;;;;
carnivaldolls;81;0,007329662;0,33;170291;610x488;4,5764;81;0,979259258;37,26353202;12,21032317;;;;;
carnivaldolls;82;0,007770633;0,33;174420;610x488;4,6874;82;0,980224894;37,52819447;11,48843613;;;;;
carnivaldolls;83;0,007553853;0,37;180888;610x488;4,8612;83;0,981244841;37,82320508;10,73395705;;;;;
carnivaldolls;84;0,007838554;0,38;186320;610x488;5,0072;84;0,982219876;38,13594695;9,988164024;;;;;
carnivaldolls;85;0,007958133;0,38;191052;610x488;5,1344;85;0,983166745;38,47586456;9,236212264;;;;;
carnivaldolls;86;0,007810124;0,4;199919;610x488;5,3727;86;0,98440775;38,88389007;8,407973887;;;;;
carnivaldolls;87;0,008096394;0,36;205464;610x488;5,5217;87;0,985426054;39,25471741;7,719845696;;;;;
carnivaldolls;88;0,007961514;0,35;215504;610x488;5,7915;88;0,986671528;39,7356828;6,910541521;;;;;
carnivaldolls;89;0,008172214;0,37;223157;610x488;5,9972;89;0,987639685;40,20624985;6,200909254;;;;;
carnivaldolls;90;0,009325238;0,44;235638;610x488;6,3326;90;0,988873161;40,7922464;5,418208591;;;;;
carnivaldolls;91;0,008608246;0,49;245601;610x488;6,6004;91;0,989917429;41,37192726;4,741193004;;;;;
carnivaldolls;92;0,008715906;0,37;256650;610x488;6,8973;92;0,991115897;42,09478831;4,014223327;;;;;
carnivaldolls;93;0,009105747;0,45;275545;610x488;7,4051;93;0,992273326;42,91145694;3,326095136;;;;;
carnivaldolls;94;0,009553469;0,48;297353;610x488;7,9912;94;0,993500664;43,9196073;2,637057691;;;;;
carnivaldolls;95;0,0099111;0,45;323412;610x488;8,6915;95;0,994683645;45,0501387;2,03266819;;;;;
carnivaldolls;96;0,01008996;0,56;353286;610x488;9,4943;96;0,995914161;46,60816607;1,4199196;;;;;
carnivaldolls;97;0,010817712;0,54;389165;610x488;10,4586;97;0,997063298;48,50911365;0,916577085;;;;;
carnivaldolls;98;0,011297034;0,53;429657;610x488;11,5468;98;0,998098154;51,25766628;0,486758712;;;;;
carnivaldolls;99;0,012432777;0,57;494733;610x488;13,2957;99;0,999102432;55,57357442;0,180186778;;;;;
cemetry;66;0,007815703;0,4;174447;627x482;4,6178;66;0,950745682;32,62910802;35,49519435;;;;;
cemetry;67;0,007903713;0,4;177091;627x482;4,6878;67;0,951958892;32,75825912;34,45517415;;;;;
cemetry;68;0,007892273;0,4;180921;627x482;4,7892;68;0,953165386;32,89545311;33,38374463;;;;;
cemetry;69;0,008162604;0,4;183542;627x482;4,8585;69;0,954270719;33,02168155;32,42740575;;;;;
cemetry;70;0,008088714;0,41;187665;627x482;4,9677;70;0,955687709;33,19099066;31,18755253;;;;;
cemetry;71;0,008003723;0,4;191129;627x482;5,0594;71;0,956883092;33,34912222;30,07240344;;;;;
cemetry;72;0,008044914;0,37;194127;627x482;5,1387;72;0,958112642;33,49483527;29,08016284;;;;;
cemetry;73;0,008283215;0,45;198201;627x482;5,2466;73;0,959234138;33,64810217;28,07179239;;;;;
cemetry;74;0,008401145;0,42;204103;627x482;5,4028;74;0,960777046;33,85820516;26,74606184;;;;;
cemetry;75;0,008316365;0,45;205669;627x482;5,4443;75;0,961555669;33,99003639;25,94637685;;;;;
cemetry;76;0,008419465;0,43;210392;627x482;5,5693;76;0,963109859;34,21974696;24,60966291;;;;;
cemetry;77;0,008454195;0,43;217210;627x482;5,7498;77;0,964803987;34,45922517;23,28937552;;;;;
cemetry;78;0,008443215;0,39;222623;627x482;5,8931;78;0,9660503;34,65755114;22,24975569;;;;;
cemetry;79;0,008664856;0,46;226909;627x482;6,0065;79;0,967379249;34,8653149;21,21040058;;;;;
cemetry;80;0,008834437;0,46;232666;627x482;6,1589;80;0,968808258;35,12040857;20,00043788;;;;;
cemetry;81;0,008867697;0,44;240052;627x482;6,3544;81;0,970513316;35,41411039;18,69258318;;;;;
cemetry;82;0,009180308;0,48;246048;627x482;6,5132;82;0,971900383;35,67685073;17,59524377;;;;;
cemetry;83;0,009151957;0,44;254864;627x482;6,7465;83;0,973365126;35,96744344;16,45644477;;;;;
cemetry;84;0,008977017;0,42;262226;627x482;6,9414;84;0,974978961;36,2820934;15,30632819;;;;;
cemetry;85;0,009597319;0,51;269561;627x482;7,1356;85;0,97649764;36,62057559;14,15868116;;;;;
cemetry;86;0,009557938;0,48;281508;627x482;7,4518;86;0,978188668;37,02158282;12,90987622;;;;;
cemetry;87;0,009886509;0,51;289554;627x482;7,6648;87;0,979603829;37,39971846;11,83337194;;;;;
cemetry;88;0,00989427;0,47;303356;627x482;8,0302;88;0,981554905;37,88268713;10,5879443;;;;;
cemetry;89;0,009934449;0,51;314699;627x482;8,3304;89;0,983267813;38,36762338;9,469303209;;;;;
cemetry;90;0,011104763;0,55;331267;627x482;8,769;90;0,985074248;38,95516605;8,271109214;;;;;
cemetry;91;0,010557932;0,47;345950;627x482;9,1577;91;0,986843047;39,55745563;7,200038163;;;;;
cemetry;92;0,010699462;0,54;361468;627x482;9,5685;92;0,988644743;40,31455496;6,048182193;;;;;
cemetry;93;0,011261664;0,59;385535;627x482;10,2056;93;0,990467172;41,15283705;4,986509559;;;;;
cemetry;94;0,011354634;0,62;414690;627x482;10,9773;94;0,992337301;42,20245515;3,91592933;;;;;
cemetry;95;0,011739025;0,64;448158;627x482;11,8633;95;0,994015998;43,3871996;2,980989189;;;;;
cemetry;96;0,012350087;0,59;487914;627x482;12,9157;96;0,995773435;45,03087487;2,041704443;;;;;
cemetry;97;0,012864708;0,72;533388;627x482;14,1194;97;0,997210343;47,0312913;1,288104897;;;;;
